Provincia.string()	Municipio.string()	Dirección.string()	Margen.string()	Toma de datos.string()	Precio.double()	Rótulo.string()	Tipo venta.string()	Rem.string()	Horario.string()
SANTA CRUZ DE TENERIFE	REALEJOS (LOS)           	CARRETERA CRT GRAL ICOD-S/C.PK 38.8 KM. 38,8	D	14/12/2016 22:49	0.880	TGAS LA GORVORANA	P	dm	L-D: 24H
SANTA CRUZ DE TENERIFE	SOCORRO (EL)             	CARRETERA TF 154 DELPORTEZUELO ALS TODCAS KM. 1	N	19/12/2016 12:06	0.880	DISA EL SOCORRO	P	dm	L-S: 07:00-22:00; D: 08:00-14:00
SANTA CRUZ DE TENERIFE	REALEJOS (LOS)           	CARRETERA EL TOSCAL KM. S/N	N	21/12/2016 17:45	0.880	SHELL LAS DEHESAS	P	dm	L-D: 07:00-23:00
SANTA CRUZ DE TENERIFE	GRANADILLA DE ABONA      	CARRETERA TF 636 SAN ISIDRO - CHIMICHE KM. 4	D	21/12/2016 12:12	0.882	PCAN	P	dm	L-D: 08:00-23:00
SANTA CRUZ DE TENERIFE	TEGUESTE CENTRO          	CARRETERA TF-13 LA LAGUNA - BAJAMAR KM. 6	I	19/12/2016 12:00	0.885	TGAS TEGUESTE	P	dm	L-D: 06:00-23:00
SANTA CRUZ DE TENERIFE	ESPERANZA (LA)           	CARRETERA TF24 LA LAGUNA - EL PORTILLO KM. 5,5	D	21/12/2016 12:11	0.887	PCAN	P	dm	L-D: 06:00-22:00
SANTA CRUZ DE TENERIFE	REALEJOS (LOS)           	CALLE LOS BARROS, 33	D	20/12/2016 00:00	0.887	DISA LOS BARROS	P	OM	L-D: 24H
SANTA CRUZ DE TENERIFE	LA LAGUNA	CARRETERA TF-24 LA LAGUNA-EL PORTILLO KM. 2,2	I	21/12/2016 12:07	0.887	PCAN	P	dm	L-D: 06:00-23:00
MELILLA	MELILLA                  	CALLE GENERAL ASTILLEROS, 89	D	19/12/2016 10:15	0.888	BP	P	dm	L-S: 06:45-23:00
MELILLA	MELILLA                  	CALLE GENERAL POLAVIEJA, 1	N	19/12/2016 09:48	0.888	BP PUENTE	P	dm	L-S: 07:00-00:00
MELILLA	MELILLA                  	CALLE GARCIA CABRELLES, 42	D	19/12/2016 10:16	0.888	BP	P	dm	L-S: 07:00-23:00
PALMAS (LAS)	PALMAS DE GRAN CANARIA (LAS)	CALLE LUIS CORREA MEDINA, 19	N	20/12/2016 10:10	0.888	DISA MILLER BAJO	A	dm	L-D: 24H
PALMAS (LAS)	PALMAS DE GRAN CANARIA (LAS)	CALLE EUFEMIANO JURADO, 4	N	20/12/2016 10:16	0.888	DISA VEGUETA	P	dm	L-D: 24H
PALMAS (LAS)	PALMAS DE GRAN CANARIA (LAS)	PASEO JOSE ANTONIO, 89	N	20/12/2016 10:15	0.888	SHELL SCHAMANN	P	dm	L-D: 06:00-22:00
SANTA CRUZ DE TENERIFE	BALDIOS, LOS             	CARRETERA TF-265 KM. 2	D	21/12/2016 00:00	0.888	TGAS LO BALDÍOS	P	dm	L-S: 06:00-22:00; D: 07:00-22:00
PALMAS (LAS)	PALMAS DE GRAN CANARIA (LAS)	PASEO CHIL, 2	N	19/12/2016 06:51	0.889	CEPSA PLAZA DEL PINO	P	dm	L: 06:00-23:55
PALMAS (LAS)	PALMAS DE GRAN CANARIA (LAS)	CARRETERA SAN LORENZO KM. S/N	D	21/12/2016 10:00	0.889	REPSOL	P	OM	L-D: 24H
PALMAS (LAS)	PALMAS DE GRAN CANARIA (LAS)	CALLE GREGORIO MARAÑON, S/N	D	21/12/2016 00:00	0.889	REPSOL	P	OM	L-D: 24H
SANTA CRUZ DE TENERIFE	AÑAZA                    	PG IND. AÑAZA PARC-39, S.N.	D	21/12/2016 10:00	0.889	REPSOL	P	OM	L-D: 06:00-22:00
SANTA CRUZ DE TENERIFE	CALETILLAS (LAS)         	CR ACCESO A CALETILLAS, 14.1	N	13/12/2016 09:48	0.889	TGAS	P	dm	L-D: 06:00-01:00
SANTA CRUZ DE TENERIFE	SANTA CRUZ DE TENERIFE   	CALLE GUAIRE - URB.CUEVAS BLANCAS, S/N	N	20/12/2016 00:00	0.889	DISA CUEVAS BLANCAS	P	OM	L-D: 06:30-23:00
